#time,cat_index,cat,V_level
0,0,Fluid,1
5,0,Fluid,1
10,0,Fluid,1
15,0,Fluid,1
20,0,Fluid,1
25,0,Fluid,1
30,0,Fluid,1
35,0,Fluid,1
40,0,Fluid,1
45,0,Fluid,1
50,0,Fluid,1
55,0,Fluid,1
60,0,Fluid,1
65,0,Fluid,1
70,0,Fluid,1
75,0,Fluid,1
80,0,Fluid,1
85,0,Fluid,1
90,0,Fluid,1
95,0,Fluid,1
100,0,Fluid,1
105,0,Fluid,1
110,0,Fluid,1
115,0,Fluid,1
120,0,Fluid,1
125,0,Fluid,1
130,0,Fluid,1
135,0,Fluid,1
140,0,Fluid,1
145,0,Fluid,1
150,0,Fluid,1
155,0,Fluid,1
160,0,Fluid,1
165,0,Fluid,1
170,0,Fluid,1
175,0,Fluid,1
180,0,Fluid,1
185,0,Fluid,1
190,0,Fluid,1
195,0,Fluid,1
200,0,Fluid,1
205,0,Fluid,1
210,0,Fluid,1
215,0,Fluid,1
220,0,Fluid,1
225,0,Fluid,1
230,0,Fluid,1
235,0,Fluid,1
240,0,Fluid,1
245,0,Fluid,1
250,0,Fluid,1
255,0,Fluid,1
260,0,Fluid,1
265,0,Fluid,1
270,0,Fluid,1
275,0,Fluid,1
280,0,Fluid,1
285,0,Fluid,1
290,0,Fluid,1
295,0,Fluid,1
300,0,Fluid,1
305,0,Fluid,1
310,0,Fluid,1
315,0,Fluid,1
320,0,Fluid,1
325,0,Fluid,1
330,0,Fluid,1
335,0,Fluid,1
340,0,Fluid,1
345,0,Fluid,1
350,0,Fluid,1
355,0,Fluid,1
360,0,Fluid,1
365,0,Fluid,1
370,0,Fluid,1
375,0,Fluid,1
380,0,Fluid,1
385,0,Fluid,1
390,0,Fluid,1
395,0,Fluid,1
400,0,Fluid,1
405,0,Fluid,1
410,0,Fluid,1
415,0,Fluid,1
420,0,Fluid,1
425,0,Fluid,1
430,0,Fluid,1
435,0,Fluid,1
440,0,Fluid,1
445,0,Fluid,1
450,0,Fluid,1
455,0,Fluid,1
460,0,Fluid,1
465,0,Fluid,1
470,0,Fluid,1
475,0,Fluid,1
480,0,Fluid,1
485,0,Fluid,1
490,0,Fluid,1
495,0,Fluid,1
500,0,Fluid,1
505,0,Fluid,1
510,0,Fluid,1
515,0,Fluid,1
520,0,Fluid,1
525,0,Fluid,1
530,0,Fluid,1
535,0,Fluid,1
540,0,Fluid,1
545,0,Fluid,1
550,0,Fluid,1
555,0,Fluid,1
560,0,Fluid,1
565,0,Fluid,1
570,0,Fluid,1
575,0,Fluid,1
580,0,Fluid,1
585,0,Fluid,1
590,0,Fluid,1
595,0,Fluid,1
600,0,Fluid,1
605,0,Fluid,1
610,0,Fluid,1
615,0,Fluid,1
620,0,Fluid,1
625,0,Fluid,1
630,0,Fluid,1
635,0,Fluid,1
640,0,Fluid,1
645,0,Fluid,1
650,0,Fluid,1
655,0,Fluid,1
660,0,Fluid,1
665,0,Fluid,1
670,0,Fluid,1
675,0,Fluid,1
680,0,Fluid,1
685,0,Fluid,1
690,0,Fluid,1
695,0,Fluid,1
700,0,Fluid,1
705,0,Fluid,1
710,0,Fluid,1
715,0,Fluid,1
720,0,Fluid,1
725,0,Fluid,1
730,0,Fluid,1
735,0,Fluid,1
740,0,Fluid,1
745,0,Fluid,1
750,0,Fluid,1
755,0,Fluid,1
760,0,Fluid,1
765,0,Fluid,1
770,0,Fluid,1
775,0,Fluid,1
780,0,Fluid,1
785,0,Fluid,1
790,0,Fluid,1
795,0,Fluid,1
800,0,Fluid,1
805,0,Fluid,1
810,0,Fluid,1
815,0,Fluid,1
820,0,Fluid,1
825,0,Fluid,1
830,0,Fluid,1
835,0,Fluid,1
840,0,Fluid,1
845,0,Fluid,1
850,0,Fluid,1
855,0,Fluid,1
860,0,Fluid,1
865,0,Fluid,1
870,0,Fluid,1
875,0,Fluid,1
880,0,Fluid,1
885,0,Fluid,1
890,0,Fluid,1
895,0,Fluid,1
900,0,Fluid,1
905,0,Fluid,1
910,0,Fluid,1
915,0,Fluid,1
920,0,Fluid,1
925,0,Fluid,1
930,0,Fluid,1
935,0,Fluid,1
940,0,Fluid,1
945,0,Fluid,1
950,0,Fluid,1
955,0,Fluid,1
960,0,Fluid,1
965,0,Fluid,1
970,0,Fluid,1
975,0,Fluid,1
980,0,Fluid,1
985,0,Fluid,1
990,0,Fluid,1
995,0,Fluid,1
